4.6-6.6	5.4-7.6	123	0	39	79	1.000	0.759	0.863
4.6-6.6	5.4-7.8	131	0	31	79	1.000	0.809	0.894
4.6-6.6	5.4-8.0	136	0	26	79	1.000	0.840	0.913
4.6-6.6	5.4-8.2	138	0	24	79	1.000	0.852	0.920
4.6-6.8	4.8-7.4	130	0	32	79	1.000	0.802	0.890
4.6-6.8	4.8-7.6	133	0	29	79	1.000	0.821	0.902
4.6-6.8	4.8-7.8	137	0	25	79	1.000	0.846	0.916
4.6-6.8	4.8-8.0	138	0	24	79	1.000	0.852	0.920
4.6-6.8	4.8-8.2	139	0	23	79	1.000	0.858	0.924
4.6-6.8	5.0-7.4	130	0	32	79	1.000	0.802	0.890
4.6-6.8	5.0-7.6	133	0	29	79	1.000	0.821	0.902
4.6-6.8	5.0-7.8	137	0	25	79	1.000	0.846	0.916
4.6-6.8	5.0-8.0	138	0	24	79	1.000	0.852	0.920
4.6-6.8	5.0-8.2	139	0	23	79	1.000	0.858	0.924
4.6-6.8	5.2-7.4	128	0	34	79	1.000	0.790	0.883
4.6-6.8	5.2-7.6	131	0	31	79	1.000	0.809	0.894
4.6-6.8	5.2-7.8	135	0	27	79	1.000	0.833	0.909
4.6-6.8	5.2-8.0	138	0	24	79	1.000	0.852	0.920
4.6-6.8	5.2-8.2	139	0	23	79	1.000	0.858	0.924
4.6-6.8	5.4-7.4	120	0	42	79	1.000	0.741	0.851
4.6-6.8	5.4-7.6	125	0	37	79	1.000	0.772	0.871
4.6-6.8	5.4-7.8	133	0	29	79	1.000	0.821	0.902
4.6-6.8	5.4-8.0	138	0	24	79	1.000	0.852	0.920
4.6-6.8	5.4-8.2	139	0	23	79	1.000	0.858	0.924
4.6-7.0	4.8-7.4	130	0	32	79	1.000	0.802	0.890
4.6-7.0	4.8-7.6	133	0	29	79	1.000	0.821	0.902
4.6-7.0	4.8-7.8	137	0	25	79	1.000	0.846	0.916
4.6-7.0	4.8-8.0	138	0	24	79	1.000	0.852	0.920
4.6-7.0	4.8-8.2	139	0	23	79	1.000	0.858	0.924
4.6-7.0	5.0-7.4	130	0	32	79	1.000	0.802	0.890
4.6-7.0	5.0-7.6	133	0	29	79	1.000	0.821	0.902
4.6-7.0	5.0-7.8	137	0	25	79	1.000	0.846	0.916
4.6-7.0	5.0-8.0	138	0	24	79	1.000	0.852	0.920
4.6-7.0	5.0-8.2	139	0	23	79	1.000	0.858	0.924
4.6-7.0	5.2-7.4	128	0	34	79	1.000	0.790	0.883
4.6-7.0	5.2-7.6	131	0	31	79	1.000	0.809	0.894
4.6-7.0	5.2-7.8	135	0	27	79	1.000	0.833	0.909
4.6-7.0	5.2-8.0	138	0	24	79	1.000	0.852	0.920
4.6-7.0	5.2-8.2	139	0	23	79	1.000	0.858	0.924
4.6-7.0	5.4-7.4	120	0	42	79	1.000	0.741	0.851
4.6-7.0	5.4-7.6	125	0	37	79	1.000	0.772	0.871
4.6-7.0	5.4-7.8	133	0	29	79	1.000	0.821	0.902
4.6-7.0	5.4-8.0	138	0	24	79	1.000	0.852	0.920
4.6-7.0	5.4-8.2	139	0	23	79	1.000	0.858	0.924
4.8-6.4	4.8-7.4	120	0	42	79	1.000	0.741	0.851
4.8-6.4	4.8-7.6	124	0	38	79	1.000	0.765	0.867
4.8-6.4	4.8-7.8	134	0	28	79	1.000	0.827	0.905
4.8-6.4	4.8-8.0	136	0	26	79	1.000	0.840	0.913
4.8-6.4	4.8-8.2	138	0	24	79	1.000	0.852	0.920
4.8-6.4	5.0-7.4	119	0	43	79	1.000	0.735	0.847
4.8-6.4	5.0-7.6	123	0	39	79	1.000	0.759	0.863
4.8-6.4	5.0-7.8	133	0	29	79	1.000	0.821	0.902
4.8-6.4	5.0-8.0	135	0	27	79	1.000	0.833	0.909
4.8-6.4	5.0-8.2	137	0	25	79	1.000	0.846	0.916
4.8-6.4	5.2-7.4	117	0	45	79	1.000	0.722	0.839
4.8-6.4	5.2-7.6	121	0	41	79	1.000	0.747	0.855
4.8-6.4	5.2-7.8	131	0	31	79	1.000	0.809	0.894
4.8-6.4	5.2-8.0	134	0	28	79	1.000	0.827	0.905
4.8-6.4	5.2-8.2	136	0	26	79	1.000	0.840	0.913
4.8-6.4	5.4-7.4	114	0	48	79	1.000	0.704	0.826
4.8-6.4	5.4-7.6	117	0	45	79	1.000	0.722	0.839
4.8-6.4	5.4-7.8	126	0	36	79	1.000	0.778	0.875
4.8-6.4	5.4-8.0	134	0	28	79	1.000	0.827	0.905
4.8-6.4	5.4-8.2	136	0	26	79	1.000	0.840	0.913
4.8-6.6	4.8-7.4	122	0	40	79	1.000	0.753	0.859
4.8-6.6	4.8-7.6	126	0	36	79	1.000	0.778	0.875
4.8-6.6	4.8-7.8	134	0	28	79	1.000	0.827	0.905
4.8-6.6	4.8-8.0	136	0	26	79	1.000	0.840	0.913
4.8-6.6	4.8-8.2	138	0	24	79	1.000	0.852	0.920
4.8-6.6	5.0-7.4	121	0	41	79	1.000	0.747	0.855
4.8-6.6	5.0-7.6	125	0	37	79	1.000	0.772	0.871
4.8-6.6	5.0-7.8	133	0	29	79	1.000	0.821	0.902
4.8-6.6	5.0-8.0	135	0	27	79	1.000	0.833	0.909
4.8-6.6	5.0-8.2	137	0	25	79	1.000	0.846	0.916
4.8-6.6	5.2-7.4	119	0	43	79	1.000	0.735	0.847
4.8-6.6	5.2-7.6	123	0	39	79	1.000	0.759	0.863
4.8-6.6	5.2-7.8	132	0	30	79	1.000	0.815	0.898
4.8-6.6	5.2-8.0	135	0	27	79	1.000	0.833	0.909
4.8-6.6	5.2-8.2	137	0	25	79	1.000	0.846	0.916
4.8-6.6	5.4-7.4	115	0	47	79	1.000	0.710	0.830
4.8-6.6	5.4-7.6	119	0	43	79	1.000	0.735	0.847
4.8-6.6	5.4-7.8	127	0	35	79	1.000	0.784	0.879
4.8-6.6	5.4-8.0	135	0	27	79	1.000	0.833	0.909
4.8-6.6	5.4-8.2	137	0	25	79	1.000	0.846	0.916
4.8-6.8	4.8-7.4	123	0	39	79	1.000	0.759	0.863
4.8-6.8	4.8-7.6	127	0	35	79	1.000	0.784	0.879
4.8-6.8	4.8-7.8	135	0	27	79	1.000	0.833	0.909
4.8-6.8	4.8-8.0	138	0	24	79	1.000	0.852	0.920
4.8-6.8	4.8-8.2	139	0	23	79	1.000	0.858	0.924
4.8-6.8	5.0-7.4	123	0	39	79	1.000	0.759	0.863
4.8-6.8	5.0-7.6	127	0	35	79	1.000	0.784	0.879
4.8-6.8	5.0-7.8	135	0	27	79	1.000	0.833	0.909
4.8-6.8	5.0-8.0	138	0	24	79	1.000	0.852	0.920
4.8-6.8	5.0-8.2	139	0	23	79	1.000	0.858	0.924
