product	n_queries	freq_all	freq_with_data	total
long-chain acyl-coa synthetase	2	0.002	0.005	2
lipase esterase family	2	0.002	0.005	2
vacuolar membrane protein	2	0.002	0.005	2
ribosome biogenesis protein nsa2	2	0.002	0.005	2
ttk protein kinase	2	0.002	0.005	2
related to hydrolase related to dienelactone hydrolase	2	0.002	0.005	2
probable glutathione s-transferase	2	0.002	0.005	2
related to integral membrane protein pth11	2	0.002	0.005	3
related to transcription activator protein acu-15	2	0.002	0.005	2
probable dioxygenase	2	0.002	0.005	2
related to 6-hydroxy-d-nicotine oxidase	2	0.002	0.005	2
related to bifunctional 4-hydroxyphenylacetate degradation enzyme	2	0.002	0.005	2
endo-1,3(4)-beta-glucanase	2	0.002	0.005	2
60s ribosomal protein l32-1	2	0.002	0.005	2
beta-lactamase-like protein	2	0.002	0.005	2
gris protein	2	0.002	0.005	2
membrane-bound transcription factor site-1 protease	2	0.002	0.005	3
protein serine/threonine phosphatase 2c	2	0.002	0.005	2
tetracycline resistance protein	2	0.002	0.005	2
molybdopterin binding protein	2	0.002	0.005	2
carboxymuconolactone decarboxylase	2	0.002	0.005	2
transcriptional regulator	2	0.002	0.005	4
3-deoxy-7-phosphoheptulonate synthase	2	0.002	0.005	2
aminotransferase	2	0.002	0.005	2
luxr family transcriptional regulator	2	0.002	0.005	2
sphingoid long-chain base transporter rsb1	2	0.002	0.005	2
putative c6 transcription factor	2	0.002	0.005	2
cell division control protein 14	2	0.002	0.005	2
creatinase/aminopeptidase	2	0.002	0.005	2
glycoside hydrolase family 5 protein	2	0.002	0.005	2
asp23/gls24 family envelope stress response protein	2	0.002	0.005	6
tat pathway signal sequence domain protein	2	0.002	0.005	2
chaplin	2	0.002	0.005	2
rna polymerase subunit sigma-70	2	0.002	0.005	2
multidrug transporter	2	0.002	0.005	2
arabinose isomerase	2	0.002	0.005	2
yihy/virulence factor brkb family protein	2	0.002	0.005	2
chitinase	2	0.002	0.005	2
pas domain-containing protein	2	0.002	0.005	2
putative bas1-transcription factor	2	0.002	0.005	2
sodium/potassium-transporting atpase subunit alpha	2	0.002	0.005	2
transcription factor	2	0.002	0.005	2
trichothecene-4-o	2	0.002	0.005	2
3-acetyltrichothecene 15-o-acetyltransferase	2	0.002	0.005	2
trichothecene c-3 deacetylase	2	0.002	0.005	2
regulatory	2	0.002	0.005	2
tri14	2	0.002	0.005	2
e3 ubiquitin-protein ligase bre1	2	0.002	0.005	2
lactose permease	2	0.002	0.005	2
methylated-dna--protein-cysteine methyltransferase	2	0.002	0.005	2
acyl-coa dehydrogenase	2	0.002	0.005	2
tetr family transcriptional regulator	2	0.002	0.005	3
superoxide dismutase	2	0.002	0.005	2
bre1-domain-containing protein	2	0.002	0.005	2
trna-guanine transglycosylase	2	0.002	0.005	2
endosomal p24a protein	2	0.002	0.005	2
rpr2-domain-containing protein	2	0.002	0.005	2
amino acid/polyamine transporter i	2	0.002	0.005	2
dna-directed rna polymerase	2	0.002	0.005	2
tpr-like protein	2	0.002	0.005	2
rna-binding domain-containing protein	2	0.002	0.005	2
glycosyltransferase family 1 protein	2	0.002	0.005	2
condensation domain-containing protein	2	0.002	0.005	2
pyoverdine/dityrosine biosynthesis protein-domain-containing protein	2	0.002	0.005	2
aldehyde reductase	2	0.002	0.005	2
topoisomerase 1-associated factor 1	2	0.002	0.005	2
dual specificity protein kinase yak1	2	0.002	0.005	2
minor extracellular protease vpr protein	2	0.002	0.005	2
minor extracellular protease vpr	2	0.002	0.005	2
vegetative incompatibility protein het-e-1	2	0.002	0.005	2
transmembrane protein	2	0.002	0.005	2
cytochrome p450 family protein	2	0.002	0.005	6
import receptor subunit tom40	2	0.002	0.005	2
amidase	2	0.002	0.005	2
cinnamyl alcohol dehydrogenase	2	0.002	0.005	2
rhogap-domain-containing protein	2	0.002	0.005	2
ubx domain-containing protein	2	0.002	0.005	2
arf/sar superfamily	2	0.002	0.005	2
putative 40s ribosomal protein s25	2	0.002	0.005	2
hrdc-like protein	2	0.002	0.005	2
sdr family oxidoreductase	2	0.002	0.005	2
peptidase m24, structural domain-containing protein	2	0.002	0.005	2
phosphatidylserine decarboxylase	2	0.002	0.005	2
serine protein kinase	2	0.002	0.005	2
nacht domain-containing protein	2	0.002	0.005	2
fc receptor	2	0.002	0.005	2
exonuclease vii small subunit domain-containing protein	2	0.002	0.005	2
aaa family atpase	2	0.002	0.005	2
crystal et79	2	0.002	0.005	2
nacht domain protein	2	0.002	0.005	2
alpha beta-hydrolase	2	0.002	0.005	2
short chain dehydrogenase reductase family	2	0.002	0.005	2
thermostable alkaline protease	2	0.002	0.005	2
formaldehyde dehydrogenase	2	0.002	0.005	2
putative dioxygenase	2	0.002	0.005	2
sirq protein	2	0.002	0.005	2
l-rhamnonate dehydratase	2	0.002	0.005	2
aryl-alcohol oxidase	2	0.002	0.005	2
trans-aconitate 2-methyltransferase	2	0.002	0.005	2
cyclin-like protein	2	0.002	0.005	2
fas1 domain-containing protein	2	0.002	0.005	2
serine palmitoyltransferase	2	0.002	0.005	2
acetoacetyl-coenzyme a synthetase	2	0.002	0.005	2
ranbp1 domain-containing protein	2	0.002	0.005	2
sam domain-containing protein	2	0.002	0.005	2
yeats family protein	2	0.002	0.005	2
betaine aldehyde dehydrogenase	2	0.002	0.005	2
phosphoglycolate phosphatase	2	0.002	0.005	2
phenazine antibiotic biosynthesis protein	2	0.002	0.005	2
pseudouridine-5'-phosphate glycosidase	2	0.002	0.005	2
asparagine synthetase b	2	0.002	0.005	2
