product	n_queries	freq_all	freq_with_data	total
autophagy protein	1	0.001	0.002	1
atpase	1	0.001	0.002	1
pectate lyase	1	0.001	0.002	1
cmgc ck2 protein kinase	1	0.001	0.002	1
pre-mrna-splicing factor prp46	1	0.001	0.002	1
integrase/recombinase xerd	1	0.001	0.002	1
ank-rep-region domain-containing protein	1	0.001	0.002	1
retrotrans-gag domain-containing protein	1	0.001	0.002	1
meiotic coiled-coil protein 2	1	0.001	0.002	1
beta-lactamase domain-containing protein	1	0.001	0.002	2
ab hydrolase-1 domain-containing protein	1	0.001	0.002	1
ctp synthase ura7	1	0.001	0.002	1
tpr-region domain-containing protein	1	0.001	0.002	1
atp-binding cassette transporter	1	0.001	0.002	1
putative transporter c11d3.18c	1	0.001	0.002	1
rhodanese domain-containing protein	1	0.001	0.002	1
nad(p)-dependent alcohol dehydrogenase protein	1	0.001	0.002	4
fact complex subunit	1	0.001	0.002	1
cyclin-dependent kinase catalytic subunit	1	0.001	0.002	1
acetamidase	1	0.001	0.002	1
phosphoribosyl transferase domain protein	1	0.001	0.002	1
spherulation-specific family 4	1	0.001	0.002	1
aminohydrolase	1	0.001	0.002	1
putative allantoin permease	1	0.001	0.002	1
rta1 like protein-domain-containing protein	1	0.001	0.002	1
homeodomain-like protein	1	0.001	0.002	1
heat shock protein hsp88	1	0.001	0.002	1
vacuolar protein sorting-associated protein	1	0.001	0.002	1
expansin-yoaj	1	0.001	0.002	1
protein rdr1	1	0.001	0.002	1
cop9 signalosome complex subunit	1	0.001	0.002	1
sorbitol dehydrogenase	1	0.001	0.002	1
ribosome-releasing factor	1	0.001	0.002	1
kr domain-containing protein	1	0.001	0.002	1
guanine nucleotide-binding protein subunit beta	1	0.001	0.002	1
phenylacetate--coa ligase	1	0.001	0.002	1
acyltransferase	1	0.001	0.002	1
dithiol-disulfide isomerase	1	0.001	0.002	1
bcr/cfla family drug resistance efflux transporter	1	0.001	0.002	1
dehydrogenase	1	0.001	0.002	1
colanic acid biosynthesis acetyltransferase wcaf	1	0.001	0.002	1
nad-dependent dehydratase	1	0.001	0.002	1
murein biosynthesis protein murj	1	0.001	0.002	1
50s ribosome-binding gtpase	1	0.001	0.002	1
tyrosinase co-factor	1	0.001	0.002	1
mycothiol s-conjugate amidase	1	0.001	0.002	1
transport permease protein	1	0.001	0.002	1
daunorubicin resistance protein drra family abc transporter atp-binding protein	1	0.001	0.002	1
spermine synthase	1	0.001	0.002	1
regulatory p domain containing protein	1	0.001	0.002	1
2og-fe(ii) oxygenase superfamily-domain containing protein	1	0.001	0.002	1
2-oxoglutarate/fe(ii)-dependent dioxygenase	1	0.001	0.002	1
spermine/spermidine synthase domain containing protein	1	0.001	0.002	1
major facilitator superfamily protein	1	0.001	0.002	1
large subunit of l-aminoadipate-semialdehyde dehydrogenase	1	0.001	0.002	1
amidase family protein	1	0.001	0.002	1
o-methyltransferas-like protein family 3	1	0.001	0.002	1
glutamine synthetase/guanido kinase	1	0.001	0.002	1
aldehyde dehydrogenase-like protein	1	0.001	0.002	1
rta1	1	0.001	0.002	1
paf acetylhydrolase family	1	0.001	0.002	1
catalase	1	0.001	0.002	1
heterokaryon incompatibility (het-6or allele)	1	0.001	0.002	1
oxidoreductase, short chain dehydrogenase reductase family	1	0.001	0.002	1
mediator of rna polymerase ii transcription subunit 7	1	0.001	0.002	1
mrna cap guanine-n7 methyltransferase	1	0.001	0.002	1
peroxisomal membrane protein pmp27	1	0.001	0.002	1
amp-binding domain-containing protein	1	0.001	0.002	2
palp domain-containing protein	1	0.001	0.002	1
glycosyl hydrolases family 31-domain-containing protein	1	0.001	0.002	1
(s)-coclaurine n-methyltransferase	1	0.001	0.002	1
nad-binding protein	1	0.001	0.002	1
acetoacetyl-coa synthetase	1	0.001	0.002	1
dnaj c terminal domain-containing protein	1	0.001	0.002	1
dead-domain-containing protein	1	0.001	0.002	1
nitrogen permease regulator of amino acid transport activity 3-domain-containing protein	1	0.001	0.002	1
putative methyltransferase-domain-containing protein	1	0.001	0.002	1
ctf8-domain-containing protein	1	0.001	0.002	1
transducin family protein/wd-40 repeat family protein	1	0.001	0.002	1
crm1 c terminal-domain-containing protein	1	0.001	0.002	1
mitochondrial inner membrane protein mitofilin	1	0.001	0.002	1
potassium transporter	1	0.001	0.002	1
glycoside hydrolase family 13 and glycosyltransferase family 5 protein	1	0.001	0.002	1
phosphatidyl serine synthase-domain-containing protein	1	0.001	0.002	1
prp1 splicing factor, n-terminal-domain-containing protein	1	0.001	0.002	1
glycosyl hydrolase family 35	1	0.001	0.002	1
fic/doc family protein	1	0.001	0.002	1
myb-like dna-binding domain-containing protein	1	0.001	0.002	1
putative abc transporter	1	0.001	0.002	1
uv excision repair protein rad23	1	0.001	0.002	1
protein kinase-like domain protein	1	0.001	0.002	1
bre1 e3 ubiquitin ligase	1	0.001	0.002	1
duf1212-domain-containing protein	1	0.001	0.002	1
actin-like atpase domain-containing protein	1	0.001	0.002	1
linoleate diol synthase	1	0.001	0.002	1
dnaj-domain-containing protein	1	0.001	0.002	1
rcc1/blip-ii	1	0.001	0.002	1
vps5 c terminal like-domain-containing protein	1	0.001	0.002	1
coatomer epsilon subunit-domain-containing protein	1	0.001	0.002	1
epoxide hydrolase	1	0.001	0.002	1
glycosyl hydrolase family 61	1	0.001	0.002	1
beta-alanine	1	0.001	0.002	1
nadph-dependent 1-acyldihydroxyacetone phosphate reductase	1	0.001	0.002	1
beta-ketoacyl synthase	1	0.001	0.002	1
integron protein cassette protein	1	0.001	0.002	1
putative heterokaryon incompatibility protein	1	0.001	0.002	1
glycolipid 2-alpha-mannosyltransferase	1	0.001	0.002	1
nicotinate-nucleotide diphosphorylase	1	0.001	0.002	1
pectin lyase-like protein	1	0.001	0.002	1
putative deoxyhypusine hydroxylase	1	0.001	0.002	1
putative glutaminyl-trna synthetase	1	0.001	0.002	1
glycolipid transfer protein domain-containing protein	1	0.001	0.002	1
hexose transporter	1	0.001	0.002	1
putative succinate-fumarate transporter	1	0.001	0.002	1
dna-directed rna polymerase ii subunit rpb9	1	0.001	0.002	1
acid phosphatase	1	0.001	0.002	1
ptk9 protein tyrosine kinase 9	1	0.001	0.002	1
vacuolar h+/ca2+ exchanger	1	0.001	0.002	1
f-box and wd-40 domain-containing protein met30	1	0.001	0.002	1
paf acetylhydrolase	1	0.001	0.002	1
metallo-dependent phosphatase-like protein	1	0.001	0.002	1
alpha-l-fucosidase	1	0.001	0.002	1
histidine phosphatase superfamily	1	0.001	0.002	1
putative cinnamoyl-coa reductase	1	0.001	0.002	1
endoribonuclease l-psp/chorismate mutase-like protein	1	0.001	0.002	1
permease for cytosine/purines, uracil, thiamine, allantoin-domain-containing protein	1	0.001	0.002	1
putative phosphoglycerate mutase family protein	1	0.001	0.002	1
glutamyl aminopeptidase	1	0.001	0.002	1
carboxypeptidase cpds	1	0.001	0.002	1
conidiation-specific protein 10	1	0.001	0.002	1
putative sugar transporter	1	0.001	0.002	1
pyridoxal phosphate-dependent transferase	1	0.001	0.002	1
nmra-like family protein	1	0.001	0.002	1
peptidase s8/s53 domain-containing protein	1	0.001	0.002	1
rieske [2fe-2s] iron-sulfur domain-containing protein	1	0.001	0.002	1
gtr1/raga g protein conserved region-domain-containing protein	1	0.001	0.002	1
fatty acid hydroxylase superfamily-domain-containing protein	1	0.001	0.002	1
microtubule/calcium-binding protein	1	0.001	0.002	1
ribosomal protein s25	1	0.001	0.002	1
concanavalin a-like lectin/glucanase domain-containing protein	1	0.001	0.002	1
alkaline-phosphatase-like protein	1	0.001	0.002	1
nadp-dependent dehydrogenase-like protein	1	0.001	0.002	1
glutathione-dependent formaldehyde-activating enzyme	1	0.001	0.002	1
mfs quinate transporter qutd	1	0.001	0.002	1
xylose isomerase-like protein	1	0.001	0.002	1
type i 3-dehydroquinase-domain-containing protein	1	0.001	0.002	1
amino acid permease/ slc12a domain-containing protein	1	0.001	0.002	1
mate efflux family protein	1	0.001	0.002	1
nrps-like enzyme	1	0.001	0.002	1
glycosyl hydrolase family 71-domain-containing protein	1	0.001	0.002	1
hydrophobic surface binding protein a-domain-containing protein	1	0.001	0.002	1
zinc-binding dehydrogenase	1	0.001	0.002	1
nek2 protein	1	0.001	0.002	1
alpha/beta hydrolase family-domain-containing protein	1	0.001	0.002	1
ankyrin repeat domain-containing protein	1	0.001	0.002	1
mate-domain-containing protein	1	0.001	0.002	1
glycosyl hydrolase family 3 n terminal domain-containing protein	1	0.001	0.002	1
putative polyketide synthase	1	0.001	0.002	1
six-hairpin glycosidase-like protein	1	0.001	0.002	1
transmembrane gtpase fzo1	1	0.001	0.002	1
g protein beta subunit	1	0.001	0.002	1
mitochondrial outer membrane translocase complex, subunit tom22	1	0.001	0.002	1
adenosine deaminase	1	0.001	0.002	1
phosducin	1	0.001	0.002	1
family 9 polysaccharide lyase	1	0.001	0.002	1
putative esterase frsa, alpha/beta hydrolase	1	0.001	0.002	1
putative karyogamy protein, kar9	1	0.001	0.002	1
putative e3 ubiquitin-protein ligase rbbp6 family	1	0.001	0.002	1
putative ribonuclease iii domain-containing protein	1	0.001	0.002	1
putative peptidase m43, pregnancy-associated plasma-a	1	0.001	0.002	1
putative phosphatidate phosphatase app1, catalytic domain-containing protein	1	0.001	0.002	1
putative gti1/pac2 family protein	1	0.001	0.002	1
putative major facilitator superfamily, mfs transporter superfamily	1	0.001	0.002	1
protein component of the small (40s) ribosomal subunit	1	0.001	0.002	1
calmodulin-like 3	1	0.001	0.002	1
ubiquitin-protein ligase (e3)	1	0.001	0.002	1
cvnh domain-containing protein	1	0.001	0.002	1
phosphomutase-like protein 3	1	0.001	0.002	1
putative tissue alpha-l-fucosidase protein	1	0.001	0.002	1
inosine-5'-monophosphate dehydrogenase	1	0.001	0.002	1
bifunctional farnesyl-diphosphate farnesyltransferase/squalene synthase	1	0.001	0.002	1
trichothecene c-3 esterase	1	0.001	0.002	1
acetyltransferase tri7	1	0.001	0.002	1
cu-oxidase-domain-containing protein	1	0.001	0.002	1
dbl-like domain-containing protein	1	0.001	0.002	1
glutaredoxin	1	0.001	0.002	1
glycosyl transferase family group 2-domain-containing protein	1	0.001	0.002	1
endoplasmic reticulum vesicle transporter-domain-containing protein	1	0.001	0.002	1
carboxylesterase	1	0.001	0.002	1
dna-(apurinic or apyrimidinic site) lyase 1	1	0.001	0.002	1
bcl5p protein	1	0.001	0.002	1
tpr repeat protein	1	0.001	0.002	1
cytochrome monooygenase 2	1	0.001	0.002	1
serine/threonine-protein phosphatase 2a activator 1	1	0.001	0.002	1
actin interacting protein 3-domain-containing protein	1	0.001	0.002	1
frag1/dram/sfk1	1	0.001	0.002	1
aip3-domain-containing protein	1	0.001	0.002	1
pectate lyase superfamily protein-domain-containing protein	1	0.001	0.002	1
hemopexin-like domain-containing protein	1	0.001	0.002	1
putative amidase	1	0.001	0.002	1
snoal-like domain-containing protein	1	0.001	0.002	1
ferric reductase like transmembrane component-domain-containing protein	1	0.001	0.002	1
rlpa-like double-psi beta-barrel-protein domain-containing protein-containing protein	1	0.001	0.002	1
wsc domain-containing protein	1	0.001	0.002	1
arginase family-domain-containing protein	1	0.001	0.002	1
putative ferric reductase transmembrane component	1	0.001	0.002	1
putative salicylate hydroxylase	1	0.001	0.002	1
putative laccase	1	0.001	0.002	1
putative copper transport protein	1	0.001	0.002	1
putative serine protease	1	0.001	0.002	1
immune inhibitor a peptidase m6-domain-containing protein	1	0.001	0.002	1
beta-lactamase/transpeptidase-like protein	1	0.001	0.002	1
glycosyl hydrolase	1	0.001	0.002	1
glycoside hydrolase family 2 protein	1	0.001	0.002	1
calcium proton exchanger	1	0.001	0.002	1
bifunctional 6-phosphofructo-2-kinase fructose-2,6-bisphosphate 2-phosphatase	1	0.001	0.002	1
gpi anchored protein	1	0.001	0.002	1
putative rna polymerase ii mediator complex component srb8	1	0.001	0.002	1
amidase signature enzyme	1	0.001	0.002	1
terpenoid synthase	1	0.001	0.002	1
sodium:solute symporter family-domain-containing protein	1	0.001	0.002	1
cupredoxin	1	0.001	0.002	1
tannase and feruloyl esterase-domain-containing protein	1	0.001	0.002	1
rhamnogalacturonase b	1	0.001	0.002	1
hco3 transporter family-domain-containing protein	1	0.001	0.002	1
metalloendopeptidase oma1, mitochondrial	1	0.001	0.002	1
clathrin coat assembly protein ap17	1	0.001	0.002	1
actin-domain-containing protein	1	0.001	0.002	1
pq loop repeat-domain-containing protein	1	0.001	0.002	1
heterotrimeric g protein alpha subunit b	1	0.001	0.002	1
dye-decolorizing peroxidase precursor	1	0.001	0.002	1
pectate lyase c	1	0.001	0.002	1
dienelactone hydrolase	1	0.001	0.002	1
putative nadp-dependent alcohol dehydrogenase c 2	1	0.001	0.002	1
salt tolerance down-regulator-domain-containing protein	1	0.001	0.002	1
capsular associated protein	1	0.001	0.002	1
rof/rnase p-like protein	1	0.001	0.002	1
ricin b lectin domain-containing protein	1	0.001	0.002	1
small gtpase superfamily	1	0.001	0.002	1
solute carrier family 12 member 4-like isoform x2	1	0.001	0.002	1
nanos1	1	0.001	0.002	1
solute carrier family 10 member 6	1	0.001	0.002	1
inter-alpha-trypsin inhibitor heavy chain h3-like isoform x2	1	0.001	0.002	1
integrator complex subunit 10	1	0.001	0.002	1
integrator complex subunit 10-like isoform x2	1	0.001	0.002	1
protocadherin-9	1	0.001	0.002	2
tubulin beta chain	1	0.001	0.002	1
pre-rrna-processing protein esf2	1	0.001	0.002	1
ribosome biogenesis protein bop1	1	0.001	0.002	1
solute carrier family 12 member 4-like isoform x5	1	0.001	0.002	1
low-density lipoprotein receptor-related protein 12	1	0.001	0.002	1
growth arrest-specific protein 8	1	0.001	0.002	1
solute carrier family 52 riboflavin transporter member 3-b	1	0.001	0.002	1
solute carrier family 12 member 4-like isoform x3	1	0.001	0.002	1
histidine acid phosphatase	1	0.001	0.002	1
rna polymerase m/15 kda subunit	1	0.001	0.002	1
phosphatidylethanolamine-binding protein	1	0.001	0.002	1
sugar transporter-like protein	1	0.001	0.002	1
cytochrome p450 2d18	1	0.001	0.002	1
mitochondrial carrier domain-containing protein	1	0.001	0.002	1
family 71 glycosyl hydrolase	1	0.001	0.002	1
related to pmr1 - ca++-transporting p-type atpase located in golgi	1	0.001	0.002	1
related to monocarboxylate transporter 4	1	0.001	0.002	1
probable abc1 transport protein	1	0.001	0.002	1
related to serine-type carboxypeptidase f precursor	1	0.001	0.002	1
related to bas1 - myb-related transcription factor	1	0.001	0.002	1
adaptin n terminal region-domain-containing protein	1	0.001	0.002	1
ubiquitin-related domain-containing protein	1	0.001	0.002	1
snare-complex protein syntaxin-18 n-terminus-domain-containing protein	1	0.001	0.002	1
catalase/peroxidase hpi	1	0.001	0.002	1
tannase/feruloyl esterase	1	0.001	0.002	1
rna dependent rna polymerase-domain-containing protein	1	0.001	0.002	1
transcriptional activator of glycolytic enzymes-domain-containing protein	1	0.001	0.002	1
endo-xylanase	1	0.001	0.002	1
opt oligopeptide transporter protein-domain-containing protein	1	0.001	0.002	1
act domain-containing protein	1	0.001	0.002	1
lysm domain-containing protein	1	0.001	0.002	1
family 31 glycosyl hydrolase	1	0.001	0.002	1
h(+)-transporting v0 sector atpase subunit c	1	0.001	0.002	1
alpha subunit of pyruvate dehydrogenase	1	0.001	0.002	1
putative feruloyl esterase c	1	0.001	0.002	1
fructosamine/ketosamine-3-kinase	1	0.001	0.002	1
inhibitor of apoptosis-promoting bax1-domain-containing protein	1	0.001	0.002	1
ribosomal protein l14 domain-containing protein	1	0.001	0.002	1
glycoside hydrolase family 3 protein	1	0.001	0.002	1
trp-domain-containing protein	1	0.001	0.002	1
sulfatase	1	0.001	0.002	1
transposable element tcb2 transposase	1	0.001	0.002	2
glycine receptor subunit alpha-2	1	0.001	0.002	1
hemocyte protein-glutamine gamma-glutamyltransferase-like	1	0.001	0.002	1
transposable element tcb1 transposase	1	0.001	0.002	1
endonuclease-reverse transcriptase	1	0.001	0.002	2
histone-lysine n-methyltransferase setmar	1	0.001	0.002	1
biomphalysin	1	0.001	0.002	1
von willebrand factor a domain-containing protein 9-like	1	0.001	0.002	1
eukaryotic translation initiation factor 3 subunit f	1	0.001	0.002	1
ap-2 complex subunit sigma	1	0.001	0.002	1
lipoate-protein ligase a	1	0.001	0.002	1
dna mismatch repair protein	1	0.001	0.002	1
putative bifunctional p-450:nadph-p450 reductase	1	0.001	0.002	1
glycoside hydrolase family 43 protein	1	0.001	0.002	1
3-ketoacyl-coa thiolase	1	0.001	0.002	1
glycoside hydrolase family 128 protein	1	0.001	0.002	1
glycoside hydrolase family 10 protein	1	0.001	0.002	1
phosphatidate cytidylyltransferase	1	0.001	0.002	1
scf ubiquitin ligase complex subunit cdc4	1	0.001	0.002	1
translation initiation factor 3 subunit b	1	0.001	0.002	1
putative aminophospholipid-translocase	1	0.001	0.002	1
aspartate racemase	1	0.001	0.002	1
nad dependent epimerase dehydratase	1	0.001	0.002	1
alpha-l-arabinofuranosidase axha	1	0.001	0.002	1
nadh:flavin oxidoreductase/nadh oxidase	1	0.001	0.002	1
tyrocidine synthetase 1	1	0.001	0.002	1
alkali-sensitive linkage protein 1	1	0.001	0.002	1
dipeptidase 2	1	0.001	0.002	1
enolase c-terminal domain-like protein	1	0.001	0.002	1
multidrug effflux mfs transporter	1	0.001	0.002	1
redox-regulated atpase ychf	1	0.001	0.002	1
glycoside hydrolase family 3 c-terminal domain-containing protein	1	0.001	0.002	1
slc13 family permease	1	0.001	0.002	1
phenylacetate--coa ligase family protein	1	0.001	0.002	1
nuclear protein	1	0.001	0.002	1
pci-domain-containing protein	1	0.001	0.002	1
non-oxidative hydroxyarylic acid decarboxylases subunit b	1	0.001	0.002	1
maleylpyruvate isomerase family mycothiol-dependent enzyme	1	0.001	0.002	1
gnat family n-acetyltransferase	1	0.001	0.002	1
lipase	1	0.001	0.002	1
4-diphosphocytidyl-2c-methyl-d-erythritol synthase	1	0.001	0.002	1
padr family transcriptional regulator	1	0.001	0.002	1
carbon starvation protein a	1	0.001	0.002	1
3-oxoacyl-[acyl-carrier-protein] synthase 3 protein 1	1	0.001	0.002	1
malate synthase	1	0.001	0.002	1
sodium:solute symporter	1	0.001	0.002	1
lysr family transcriptional regulator	1	0.001	0.002	1
scavenger mrna decapping enzyme c-term binding-domain-containing protein	1	0.001	0.002	1
aspartokinase	1	0.001	0.002	1
duf4956 domain-containing protein	1	0.001	0.002	1
vtc domain-containing protein	1	0.001	0.002	1
atpase aaa	1	0.001	0.002	1
cinnamyl-alcohol dehydrogenase flavonol reductase/cinnamoyl-coa reductase	1	0.001	0.002	1
phenylacrylic acid decarboxylase	1	0.001	0.002	1
sugar transporter	1	0.001	0.002	1
dbl homology domain-containing protein	1	0.001	0.002	1
laccase subfamily 2	1	0.001	0.002	1
catalase-peroxidase 2	1	0.001	0.002	1
catalase a	1	0.001	0.002	1
transcription regulator gal80	1	0.001	0.002	1
1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase	1	0.001	0.002	1
protein pal1	1	0.001	0.002	1
protein pal1, variant 2	1	0.001	0.002	1
rrna-processing protein fcf1	1	0.001	0.002	1
atp-dependent dna helicase tlh1	1	0.001	0.002	1
rad27p/fen-1 endonuclease-like protein	1	0.001	0.002	1
telomere length regulation protein	1	0.001	0.002	1
ribosomal protein s2- flavodoxin-like domain-containing protein	1	0.001	0.002	1
endo-1-4-beta-xylanase b	1	0.001	0.002	1
glycoside hydrolase family 47 protein	1	0.001	0.002	1
3-oxoacyl-reductase	1	0.001	0.002	1
amine oxidase- flavin-containing superfamily	1	0.001	0.002	1
tpr domain protein	1	0.001	0.002	1
bifunctional dethiobiotin synthetase/7 8-diamino-pelargonic acid aminotransferase	1	0.001	0.002	1
drug:h+ antiporter-2	1	0.001	0.002	1
phenylalanine ammonia-lyase	1	0.001	0.002	1
aspartyl protease	1	0.001	0.002	1
nadh-dependent flavin oxidoreductase nada	1	0.001	0.002	1
f-box domain-containing protein	1	0.001	0.002	1
aspyridones efflux protein apdf	1	0.001	0.002	1
integral membrane family protein	1	0.001	0.002	1
fad binding domain protein	1	0.001	0.002	1
phospholipid methyltransferase	1	0.001	0.002	1
intermediate filament protein mdm1	1	0.001	0.002	1
4-hydroxy-2-oxoglutarate aldolase	1	0.001	0.002	1
t-complex protein 1 subunit epsilon	1	0.001	0.002	1
manganese transporter	1	0.001	0.002	1
glycosyl hydrolase family 11	1	0.001	0.002	1
aldehyde reductase 2	1	0.001	0.002	1
37s ribosomal protein mrp4	1	0.001	0.002	1
short-chain dehydrogenase protein	1	0.001	0.002	1
hirsutellin a	1	0.001	0.002	1
paraoxonase	1	0.001	0.002	1
alcohol dehydrogenase zinc-containing	1	0.001	0.002	1
aspartate/glutamate racemase family protein	1	0.001	0.002	1
gpi transamidase component pig-u	1	0.001	0.002	1
copper amine oxidase	1	0.001	0.002	1
rmlc-like cupin	1	0.001	0.002	1
arginase-like protein	1	0.001	0.002	1
alpha-l-arabinofuranosidase axha-2	1	0.001	0.002	1
translation machinery-associated 64	1	0.001	0.002	1
integral membrane protein pth11	1	0.001	0.002	1
had-like protein	1	0.001	0.002	1
pin domain-like protein	1	0.001	0.002	1
abc-type fe3+ transport system	1	0.001	0.002	1
nad-dependent epimerase/dehydratase terh	1	0.001	0.002	1
major royal jelly protein	1	0.001	0.002	1
dao-domain-containing protein	1	0.001	0.002	1
putative nadph-dependent 1-acyldihydroxyacetone phosphate reductase	1	0.001	0.002	1
putative c2h2-type domain-containing protein	1	0.001	0.002	1
putative nad(p)-binding protein	1	0.001	0.002	1
putative nacht domain-containing protein	1	0.001	0.002	1
putative short-chain dehydrogenase	1	0.001	0.002	1
s-adenosylmethionine-dependent methyltransferase	1	0.001	0.002	1
cerato-ulmin hydrophobin family	1	0.001	0.002	1
putative flavin-containing monooxygenase yucca3	1	0.001	0.002	1
putative f-box domain-containing protein	1	0.001	0.002	1
putative o-methyltransferase	1	0.001	0.002	1
putative lijd	1	0.001	0.002	1
putative glutathione s-transferase	1	0.001	0.002	1
putative intradiol ring-cleavage dioxygenases domain-containing protein	1	0.001	0.002	2
putative isotrichodermin c-15 hydroxylase	1	0.001	0.002	1
putative peroxidase	1	0.001	0.002	1
putative acyl carrier protein-like protein	1	0.001	0.002	1
putative platelet-activating factor acetylhydrolase	1	0.001	0.002	1
putative methylmalonate-semialdehyde dehydrogenase (coa acylating)	1	0.001	0.002	1
retromer complex subunit vps35	1	0.001	0.002	1
net1-associated nuclear protein 1	1	0.001	0.002	1
dna-directed rna polymerase ii subunit l	1	0.001	0.002	1
aipr family protein	1	0.001	0.002	1
trypsin-like peptidase domain-containing protein	1	0.001	0.002	2
stress response protein nst1	1	0.001	0.002	1
methionine--trna ligase mes1	1	0.001	0.002	1
2 iron, 2 sulfur cluster binding	1	0.001	0.002	1
tfiih/ner complex atp-dependent 5'-3' dna helicase subunit	1	0.001	0.002	1
eukaryotic translation initiation factor 2 subunit gamma	1	0.001	0.002	1
lipid ii flippase murj	1	0.001	0.002	1
thioesterase family protein	1	0.001	0.002	1
energy-dependent translational throttle protein etta	1	0.001	0.002	1
tqxa domain-containing protein	1	0.001	0.002	1
serine/threonine-protein kinase pbl34	1	0.001	0.002	1
copd family protein	1	0.001	0.002	1
pyruvate dehydrogenase (acetyl-transferring) e1 component subunit alpha	1	0.001	0.002	1
c40 family peptidase	1	0.001	0.002	1
alpha-ketoacid dehydrogenase subunit beta	1	0.001	0.002	1
copper resistance protein copc	1	0.001	0.002	1
lysr substrate-binding domain-containing protein	1	0.001	0.002	1
hydrolase	1	0.001	0.002	1
fad/nad(p)-binding protein	1	0.001	0.002	1
glycosyltransferase family 39 protein	1	0.001	0.002	1
poly-gamma-glutamate biosynthesis protein pgsc/capc	1	0.001	0.002	1
cache and hamp domain-containing protein	1	0.001	0.002	1
2-oxo acid dehydrogenase subunit e2	1	0.001	0.002	1
poly-gamma-glutamate synthase pgsb	1	0.001	0.002	1
enoyl-coa hydratase family protein	1	0.001	0.002	1
sis domain-containing protein	1	0.001	0.002	1
citrate synthase 2	1	0.001	0.002	1
isopenicillin n synthase family dioxygenase	1	0.001	0.002	1
putative leader peptide	1	0.001	0.002	1
m20/m25/m40 family metallo-hydrolase	1	0.001	0.002	1
acyl-coa dehydrogenase family protein	1	0.001	0.002	1
thioredoxin family protein	1	0.001	0.002	1
nucleoside hydrolase	1	0.001	0.002	1
bleomycin resistance protein	1	0.001	0.002	1
duf2911 domain-containing protein	1	0.001	0.002	1
acyltransferase family protein	1	0.001	0.002	1
winged helix-turn-helix transcriptional regulator	1	0.001	0.002	1
rida family protein	1	0.001	0.002	1
branched-chain amino acid abc transporter permease	1	0.001	0.002	1
creatininase family protein	1	0.001	0.002	1
amino acid abc transporter substrate-binding protein	1	0.001	0.002	1
carboxylesterase/lipase family protein	1	0.001	0.002	1
cryptochrome/photolyase family protein	1	0.001	0.002	1
ncs1 family nucleobase:cation symporter-1	1	0.001	0.002	1
glycerol kinase glpk	1	0.001	0.002	1
srpbcc domain-containing protein	1	0.001	0.002	1
mip/aquaporin family protein	1	0.001	0.002	1
toprim nucleotidyl transferase/hydrolase domain-containing protein	1	0.001	0.002	1
ferric reductase-like transmembrane domain-containing protein	1	0.001	0.002	1
duf3325 family protein	1	0.001	0.002	1
pepsy-associated tm helix domain-containing protein	1	0.001	0.002	1
response regulator transcription factor	1	0.001	0.002	1
tonb-dependent receptor	1	0.001	0.002	2
duf2235 domain-containing protein	1	0.001	0.002	1
histidine kinase sensor domain-containing protein	1	0.001	0.002	1
is200/is605 family transposase	1	0.001	0.002	1
acyl-homoserine-lactone synthase	1	0.001	0.002	1
is66 family transposase	1	0.001	0.002	1
is701 family transposase	1	0.001	0.002	1
is66 family insertion sequence element accessory protein tnpb	1	0.001	0.002	1
is110 family transposase	1	0.001	0.002	1
glycine betaine/l-proline abc transporter atp-binding protein	1	0.001	0.002	1
siderophore-interacting protein	1	0.001	0.002	1
malate dehydrogenase	1	0.001	0.002	1
duf2637 domain-containing protein	1	0.001	0.002	1
nramp family divalent metal transporter	1	0.001	0.002	1
ecf-type sigma factor	1	0.001	0.002	1
carboxypeptidase-like regulatory domain-containing protein	1	0.001	0.002	1
autotransporter domain-containing protein	1	0.001	0.002	1
dead/deah box helicase	1	0.001	0.002	1
sav_915 family protein	1	0.001	0.002	1
bagremycin/ferroverdin biosynthesis fad-dependent oxygenase bagg/feva2	1	0.001	0.002	1
bagremycin/ferroverdin biosynthesis ubid family decarboxylase bagn/fevl	1	0.001	0.002	1
luxr family transcriptional regulator bagy/fevt	1	0.001	0.002	1
marr family transcriptional regulator bagl/fevm	1	0.001	0.002	1
afsr/sarp family transcriptional regulator bagi/fevr	1	0.001	0.002	1
bagremycin/ferroverdin biosynthesis fad-dependent oxygenase bagk/feva1	1	0.001	0.002	1
bagremycin/ferroverdin biosynthesis ubix family decarboxylase bagm/fevk	1	0.001	0.002	1
bagremycin/ferroverdin biosynthesis tyrosine ammonia-lyase baga/fevw	1	0.001	0.002	1
bagremycin/ferroverdin biosynthesis copper chaperon bagz/feve	1	0.001	0.002	1
bagremycin/ferroverdin synthetase bage/fevw	1	0.001	0.002	1
bagremycin/ferroverdin biosynthesis 3,4-ahba synthase bagc/fevh	1	0.001	0.002	1
bagremycin/ferroverdin biosynthesis dhna-type aldolase bagb/fevi	1	0.001	0.002	1
bagremycin/ferroverdin transporter bagj/fevb	1	0.001	0.002	1
abc-f family atp-binding cassette domain-containing protein	1	0.001	0.002	1
alpha/beta fold hydrolase	1	0.001	0.002	1
murein biosynthesis integral membrane protein murj	1	0.001	0.002	1
outer membrane protein assembly factor bamb	1	0.001	0.002	1
hamp domain-containing protein	1	0.001	0.002	1
duf1211 domain-containing protein	1	0.001	0.002	1
