panel	section	species	substitution	locus	idx	label	category	strand	labelpos
F	CANONICAL BACTERIAL	Rhizobium sp.	Val218>Glu	Protocatechuate catabolism	0	ribose BP	transport	+	below
F	CANONICAL BACTERIAL	Rhizobium sp.	Val218>Glu	Protocatechuate catabolism	1		biosynthetic	+	none
F	CANONICAL BACTERIAL	Rhizobium sp.	Val218>Glu	Protocatechuate catabolism	2		hypothetical	-	none
F	CANONICAL BACTERIAL	Rhizobium sp.	Val218>Glu	Protocatechuate catabolism	3	4-CML dec.	pathway	+	above
F	CANONICAL BACTERIAL	Rhizobium sp.	Val218>Glu	Protocatechuate catabolism	4		biosynthetic	+	none
F	CANONICAL BACTERIAL	Rhizobium sp.	Val218>Glu	Protocatechuate catabolism	5	GntR	regulatory	+	below
F	CANONICAL BACTERIAL	Rhizobium sp.	Val218>Glu	Protocatechuate catabolism	6		hypothetical	-	none
F	CANONICAL BACTERIAL	Rhizobium sp.	Val218>Glu	Protocatechuate catabolism	7		hypothetical	+	none
F	CANONICAL BACTERIAL	Rhizobium sp.	Val218>Glu	Protocatechuate catabolism	8	PPO	ppo	+	above
F	CANONICAL BACTERIAL	Rhizobium sp.	Val218>Glu	Protocatechuate catabolism	9		hypothetical	-	none
G	CANONICAL BACTERIAL	Cellulophaga sp.	Asn205>Arg	Bacillithiol biosynthesis	0	glycosTF	biosynthetic	+	above
G	CANONICAL BACTERIAL	Cellulophaga sp.	Asn205>Arg	Bacillithiol biosynthesis	1		biosynthetic	+	none
G	CANONICAL BACTERIAL	Cellulophaga sp.	Asn205>Arg	Bacillithiol biosynthesis	2		biosynthetic	+	none
G	CANONICAL BACTERIAL	Cellulophaga sp.	Asn205>Arg	Bacillithiol biosynthesis	3	NeuD	biosynthetic	+	below
G	CANONICAL BACTERIAL	Cellulophaga sp.	Asn205>Arg	Bacillithiol biosynthesis	4		biosynthetic	+	none
G	CANONICAL BACTERIAL	Cellulophaga sp.	Asn205>Arg	Bacillithiol biosynthesis	5		hypothetical	-	none
G	CANONICAL BACTERIAL	Cellulophaga sp.	Asn205>Arg	Bacillithiol biosynthesis	6	TonB rec.	transport	+	above
G	CANONICAL BACTERIAL	Cellulophaga sp.	Asn205>Arg	Bacillithiol biosynthesis	7	CopZ	pathway	+	below
G	CANONICAL BACTERIAL	Cellulophaga sp.	Asn205>Arg	Bacillithiol biosynthesis	8	PPO	ppo	+	above
G	CANONICAL BACTERIAL	Cellulophaga sp.	Asn205>Arg	Bacillithiol biosynthesis	9		biosynthetic	+	none
G	CANONICAL BACTERIAL	Cellulophaga sp.	Asn205>Arg	Bacillithiol biosynthesis	10	DltB	pathway	+	above
G	CANONICAL BACTERIAL	Cellulophaga sp.	Asn205>Arg	Bacillithiol biosynthesis	11		hypothetical	-	none
G	CANONICAL BACTERIAL	Cellulophaga sp.	Asn205>Arg	Bacillithiol biosynthesis	12	BshA	pathway	+	below
G	CANONICAL BACTERIAL	Cellulophaga sp.	Asn205>Arg	Bacillithiol biosynthesis	13		hypothetical	+	none
G	CANONICAL BACTERIAL	Cellulophaga sp.	Asn205>Arg	Bacillithiol biosynthesis	14	beta-gluc.	pathway	+	above
G	CANONICAL BACTERIAL	Cellulophaga sp.	Asn205>Arg	Bacillithiol biosynthesis	15		hypothetical	-	none
G	CANONICAL BACTERIAL	Cellulophaga sp.	Asn205>Arg	Bacillithiol biosynthesis	16		hypothetical	-	none
G	CANONICAL BACTERIAL	Cellulophaga sp.	Asn205>Arg	Bacillithiol biosynthesis	17		transport	+	none
