product	AUS	CaOx	DCT	DCT_DHICA	DHICA_ox	TYR	binuclear_AspCuB	binuclear_TyrCuA	binuclear_TyrCuB	biosynthetic	hemocyanin	mononuclear_AspCuB_Zn	mononuclear_CuA_loss	mononuclear_CuB_loss	mononuclear_LeuCuA	mononuclear_ProCuB	neither_Microbispora	neither_liverfluke	oAPO	oMP
alcohol dehydrogenase 3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
alcohol oxidase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	5
aldehyde dehydrogenase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	16
aldehyde dehydrogenase family protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0
aldo/keto reductase	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6
aldolase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1
alkaline elastase yab	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
alkaline-phosphatase-like protein	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4
alpha,alpha-trehalase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
alpha,alpha-trehalase nth1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
alpha-ketoglutarate-dependent taurine dioxygenase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
alpha-l-rhamnosidase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
alpha/beta hydrolase	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1
alpha/beta hydrolase fold-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2
alpha/beta hydrolase fold-3 domain-containing protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
alpha/beta hydrolase protein	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	40	35
alpha/beta-hydrolase	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	14	19
amidase	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	14
amidase signature domain-containing protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5
amidase signature enzyme	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
amidohydrolase	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1
amidohydrolase 2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3
amidohydrolase family-domain-containing protein	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3
amidohydrolase ytcj-like	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
amino acid permease	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	5
amino acid permease-domain-containing protein	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4
amino acid permease/ slc12a domain-containing protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5
amino acid transporter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5
amino acid/polyamine transporter i	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	7
aminoglycoside phosphotransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3
aminotransferase class i and ii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	18
amp-binding protein	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
ankyrin	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5	4
ankyrin protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0
ankyrin repeat domain-containing protein 17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
ankyrin repeat protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	13
ankyrin repeat-containing domain protein	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	23
ankyrin repeats (3 copies)	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
anticodon-binding protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
ap-1 adaptor complex mu subunit apm1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ap-3 adaptor complex subunit mu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
ap-3 complex subunit mu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
apolipophorin	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
arac family transcriptional regulator	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arf/sar superfamily	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3
arginase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	9
arginine biosynthesis bifunctional protein arg7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
arginine metabolism regulation ii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
arginine metabolism regulation protein ii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
argininosuccinate lyase	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4
arm repeat-containing protein	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	1
armadillo-type protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10
aromatic compound dioxygenase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
arp complex subunit	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asp/glu/hydantoin racemase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1
asp23/gls24 family envelope stress response protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
asparaginase/glutaminase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
asparagine synthase (glutamine-hydrolyzing)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
