keyword	AUS	CaOx	DCT	DCT_DHICA	DHICA_ox	TYR	binuclear_AspCuB	binuclear_TyrCuA	binuclear_TyrCuB	biosynthetic	hemocyanin	mononuclear_AspCuB_Zn	mononuclear_CuA_loss	mononuclear_CuB_loss	mononuclear_LeuCuA	mononuclear_ProCuB	neither_Microbispora	neither_liverfluke	oAPO	oMP
alpha,alpha-trehalase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
alpha-1,2-mannosyltransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
alpha-2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
alpha-ketoglutarate-dependent	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8
alpha-l-rhamnosidase	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	8
alpha-l-rhamnosidase-domain-containing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
alpha/beta	0	0	0	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50	52
alpha/beta-hydrolase	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	14	19
ame:	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
amidase	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	8	25
amidohydrolase	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	34
amidotransferase	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	6
amidotransferase-like	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	5
amine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	18
amino	0	0	0	5	0	0	0	0	0	1	7	0	0	0	0	0	0	0	28	44
amino-acid	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	5
aminoglycoside	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6
aminohydrolase	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7
aminopeptidase	0	0	0	12	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	8
aminotransferase	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	55
aminotransferase,	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6
ammonia-lyase	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1
amp-binding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1
anaphase-promoting	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6
anchored	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4
anhydrase	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10
ankyrin	0	0	0	8	0	0	0	0	0	0	12	0	0	0	0	0	0	0	50	62
antibiotic	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	7
anticodon-binding	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
antigen	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	10	2
antiporter	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28
ap-1	0	0	0	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ap-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
apdf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8
apg9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
apoptosis	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
apparatus	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	8	0
arac	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arcadlin	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arginase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	12
arginine	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	14
argininosuccinate	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5
armadillo-type	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10
aromatic	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	2
asparagine	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0
asparaginyl-trna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
aspartate	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	15	4
aspartic	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	5	6
aspyridones	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8
assembly	0	0	0	7	0	4	0	0	0	0	2	0	0	0	0	0	0	0	5	10
assimilation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5
asymmetric	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
atcc	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	8	3
atp-binding	0	0	0	33	0	2	0	0	0	0	6	0	0	1	0	0	0	0	14	4
atp-dependent	0	0	0	11	0	0	0	0	0	0	4	0	0	0	0	0	2	0	10	12
atp-sulfurylase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
atpase	0	0	0	21	0	0	0	0	0	0	8	0	0	0	0	0	0	0	61	38
autophagic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1
autophagy	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	9	3
avl9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
avl9-domain-containing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
b-large	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
b-type	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacterial	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	9
bagremycin/ferroverdin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0
bas1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
bas1-transcription	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0
base	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2
benzoate	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	5	10
beta	0	0	0	14	0	0	0	0	0	0	1	0	0	0	0	0	0	0	12	45
beta-cyclopiazonate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
beta-galactosidase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
beta-glucosidase	0	0	0	4	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	22
beta-ketoacyl	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	14
beta-lactamase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	37
beta-lactamase/transpeptidase-like	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	5
bifunctional	0	0	0	6	0	0	0	0	0	0	1	1	0	0	0	0	0	0	17	32
binding	0	0	0	43	0	1	0	0	0	0	5	0	0	0	0	0	0	1	19	81
binuclear	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2
biogenesis	0	0	0	5	0	1	0	0	0	1	1	0	0	0	0	0	0	0	4	23
biosynthesis	0	0	0	17	0	0	0	0	0	0	4	0	0	1	0	0	0	0	56	21
biosynthetic	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	7
body	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	26
brain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
branched-chain-amino-acid	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6
bridge	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
c-15	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	10
c-methyltransferase	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	5
c-terminal	0	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	10	9
c2h2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5	17
calcium	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	16
camp-dependent	0	0	0	10	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
capping	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6
carbohydrate	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	19
carbohydrate-binding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	13
carbon-nitrogen	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	17
carbonic	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	11
carboxyl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
carboxyl-terminal	0	0	0	11	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	9
carboxylase	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
carboxylesterase	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	24
carboxypeptidase	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	26	23
carotenoid	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
carrier	0	0	0	9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	15	21
caspase	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cassette	0	0	0	33	0	0	0	0	0	0	3	0	0	1	0	0	0	0	6	1
catalytic	0	0	0	14	0	0	0	0	0	0	3	0	0	0	0	0	0	0	15	24
catechol	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cation	0	0	0	7	0	0	0	0	0	0	4	0	0	0	0	0	0	0	3	10
cc171	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ccaat-binding	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
cell	0	0	0	54	0	0	0	0	0	0	2	0	0	0	0	0	0	0	11	35
cell-derived	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
central	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	16	3
centre-containing	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	109	9
centrosomal	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
cep89	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
cer1	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cerberus	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cerevisiae	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5	0
chain	0	0	0	8	0	0	0	0	0	0	5	0	0	0	0	0	0	0	39	38
channel	0	0	0	6	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	14
chaperone	0	0	0	10	0	2	0	0	0	0	4	0	0	0	0	0	0	0	10	7
chaperonin	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	15
chemotaxin	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chitinase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	7
chloride	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
chloroplastic-like	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
choline	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	21
cholinephosphotransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
chromatin	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	19
chromosome	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
chromosomes	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cilia-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
circadian	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
