accession,kingdom,phylum,genus
A0A1V6UYM8,Fungi,Ascomycota,Penicillium
A0A1V6XP46,Fungi,Ascomycota,Penicillium
A0A1V6Y949,Fungi,Ascomycota,Penicillium
A0A1V6YCZ7,Fungi,Ascomycota,Penicillium
A0A1V6YX06,Fungi,Ascomycota,Penicillium
A0A1V8SKS2,Fungi,Ascomycota,Cryoendolithus
A0A1V8SS50,Fungi,Ascomycota,Cryoendolithus
A0A1V8SV31,Fungi,Ascomycota,Cryoendolithus
A0A1V8SXJ4,Fungi,Ascomycota,Cryoendolithus
A0A1V8T1G2,Fungi,Ascomycota,Cryoendolithus
A0A1V8TJ40,Fungi,Ascomycota,Cryoendolithus
A0A1V8TKJ2,Fungi,Ascomycota,Cryoendolithus
A0A1V8TPK1,Fungi,Ascomycota,Cryoendolithus
A0A1V8TS84,Fungi,Ascomycota,Cryoendolithus
A0A1V8TU55,Fungi,Ascomycota,Cryoendolithus
A0A1V9Y4A2,Oomycota,Oomycota,Achlya
A0A1V9Y4B3,Oomycota,Oomycota,Achlya
A0A1V9Y543,Oomycota,Oomycota,Thraustotheca
A0A1V9Y5I4,Oomycota,Oomycota,Achlya
A0A1V9Y9H5,Oomycota,Oomycota,Achlya
A0A1V9YBP5,Oomycota,Oomycota,Achlya
A0A1V9YE51,Oomycota,Oomycota,Thraustotheca
A0A1V9YEL7,Oomycota,Oomycota,Achlya
A0A1V9YEM7,Oomycota,Oomycota,Achlya
A0A1V9YSH7,Oomycota,Oomycota,Achlya
A0A1V9YSU1,Oomycota,Oomycota,Thraustotheca
A0A1V9YY26,Oomycota,Oomycota,Achlya
A0A1V9YYD2,Oomycota,Oomycota,Achlya
A0A1V9Z082,Oomycota,Oomycota,Achlya
A0A1V9Z4B6,Oomycota,Oomycota,Achlya
A0A1V9Z5U0,Oomycota,Oomycota,Achlya
A0A1V9ZFX4,Oomycota,Oomycota,Thraustotheca
A0A1V9ZS86,Oomycota,Oomycota,Thraustotheca
A0A1V9ZSP1,Oomycota,Oomycota,Thraustotheca
A0A1W0A5N4,Oomycota,Oomycota,Thraustotheca
A0A1W0CC29,Bacteria,Pseudomonadota,Chromobacterium
A0A1W0VTX0,Plants,Streptophyta,Sorghum
A0A1W0VZT6,Plants,Streptophyta,Sorghum
A0A1W1XU60,Bacteria,Pseudomonadota,Andreprevotia
A0A1W2FQF9,Bacteria,Actinomycetota,Lentzea
A0A1W2TBG8,Fungi,Ascomycota,Rosellinia
A0A1W2TDK2,Fungi,Ascomycota,Rosellinia
A0A1W2TFC7,Fungi,Ascomycota,Rosellinia
A0A1W2TI06,Fungi,Ascomycota,Rosellinia
A0A1W2TIU1,Fungi,Ascomycota,Rosellinia
A0A1W2TJ16,Fungi,Ascomycota,Rosellinia
A0A1W2TKF3,Fungi,Ascomycota,Rosellinia
A0A1W2TMZ6,Fungi,Ascomycota,Rosellinia
A0A1W2TQH1,Fungi,Ascomycota,Rosellinia
A0A1W2TRD3,Fungi,Ascomycota,Rosellinia
A0A1W2TX07,Fungi,Ascomycota,Rosellinia
A0A1W2TXD3,Fungi,Ascomycota,Rosellinia
A0A1W5CYQ0,Fungi,Ascomycota,Lasallia
A0A1W5D0E8,Fungi,Ascomycota,Lasallia
A0A1W5DB43,Fungi,Ascomycota,Lasallia
A0A1W5PVZ5,Bacteria,Pseudomonadota,Sinorhizobium
A0A1W5ZLD3,Animals,Chordata,Tachysurus
A0A1W5ZLE6,Animals,Chordata,Tachysurus
A0A1W6AMR4,Animals,Chordata,Ischnocnema
A0A1W6I192,Animals,Platyhelminthes,Schmidtea
A0A1W6LXP7,Animals,Chordata,Anomaloglossus
A0A1W6LXQ3,Animals,Chordata,Anomaloglossus
A0A1W6LXQ5,Animals,Chordata,Anomaloglossus
A0A1W6LXQ9,Animals,Chordata,Anomaloglossus
A0A1W6LXR0,Animals,Chordata,Anomaloglossus
A0A1W6LXR1,Animals,Chordata,Anomaloglossus
A0A1W6LXR3,Animals,Chordata,Dryadobates
A0A1W6LXR5,Animals,Chordata,Anomaloglossus
A0A1W6LXR8,Animals,Chordata,Anomaloglossus
A0A1W6LXS0,Animals,Chordata,Anomaloglossus
A0A1W6LXS1,Animals,Chordata,Anomaloglossus
A0A1W6LXS3,Animals,Chordata,Anomaloglossus
A0A1W6LXS6,Animals,Chordata,Anomaloglossus
A0A1W6LXS8,Animals,Chordata,Anomaloglossus
A0A1W6LXT1,Animals,Chordata,Anomaloglossus
A0A1W6LXT2,Animals,Chordata,Anomaloglossus
A0A1W6LXT6,Animals,Chordata,Anomaloglossus
A0A1W6SPL1,Bacteria,Pseudomonadota,Nitrosospira
A0A1W6SPU4,Bacteria,Pseudomonadota,Nitrosospira
A0A1W6SQT2,Bacteria,Pseudomonadota,Nitrosospira
A0A1W6SSH7,Bacteria,Pseudomonadota,Nitrosospira
A0A1W6WXH6,Bacteria,Bacillota,Bacillus
A0A1W7D1S4,Bacteria,Actinomycetota,Streptomyces
A0A1X0B8H0,Bacteria,Actinomycetota,Mycobacterium
A0A1X1P628,Bacteria,Pseudomonadota,Burkholderia
A0A1X2ETX6,Bacteria,Actinomycetota,Mycolicibacterium
A0A1X6N7P5,Fungi,Basidiomycota,Rhodonia
A0A1X6NLJ2,Other Eukaryota,Rhodophyta,Porphyra
A0A1X6NN55,Other Eukaryota,Rhodophyta,Porphyra
A0A1X6NRK9,Other Eukaryota,Rhodophyta,Porphyra
A0A1X6NT80,Other Eukaryota,Rhodophyta,Porphyra
A0A1X6P2D6,Other Eukaryota,Rhodophyta,Porphyra
A0A1X6P7V7,Other Eukaryota,Rhodophyta,Porphyra
A0A1X6P7W8,Other Eukaryota,Rhodophyta,Porphyra
A0A1X6PEB3,Other Eukaryota,Rhodophyta,Porphyra
A0A1X6PGE7,Other Eukaryota,Rhodophyta,Porphyra
A0A1X6PIR8,Other Eukaryota,Rhodophyta,Porphyra
A0A1X6PJ39,Other Eukaryota,Rhodophyta,Porphyra
A0A1X6PJ49,Other Eukaryota,Rhodophyta,Porphyra
A0A1X7BWK5,Bacteria,Pseudomonadota,Roseovarius
A0A1X7PSQ5,Bacteria,Pseudomonadota,Mesorhizobium
A0A1X7RK58,Fungi,Ascomycota,Zymoseptoria
A0A1X7RPF3,Fungi,Ascomycota,Zymoseptoria
A0A1X7RRH8,Fungi,Ascomycota,Zymoseptoria
A0A1X7RS54,Fungi,Ascomycota,Zymoseptoria
A0A1X7RSK7,Fungi,Ascomycota,Zymoseptoria
A0A1X7RU91,Fungi,Ascomycota,Zymoseptoria
A0A1X7RVT3,Fungi,Ascomycota,Zymoseptoria
A0A1X7RWC6,Fungi,Ascomycota,Zymoseptoria
A0A1X7RXX1,Fungi,Ascomycota,Zymoseptoria
A0A1X7S635,Fungi,Ascomycota,Zymoseptoria
A0A1X7S7T3,Fungi,Ascomycota,Zymoseptoria
A0A1X7S8T9,Fungi,Ascomycota,Zymoseptoria
A0A1X7S8X8,Fungi,Ascomycota,Zymoseptoria
A0A1X7S964,Fungi,Ascomycota,Zymoseptoria
A0A1X7SEW5,Animals,Porifera,Amphimedon
A0A1Y0B6P0,Plants,Streptophyta,Lilium
A0A1Y0C4U3,Bacteria,Actinomycetota,Mycobacterium
A0A1Y0DAD8,Animals,Chordata,Crossoptilon
A0A1Y0DAE5,Animals,Chordata,Crossoptilon
A0A1Y0DAF0,Animals,Chordata,Crossoptilon
A0A1Y0DAS0,Animals,Chordata,Crossoptilon
A0A1Y0DBX4,Animals,Chordata,Lophura
A0A1Y0DBY4,Animals,Chordata,Crossoptilon
A0A1Y1BWL3,Bacteria,Pseudomonadota,Burkholderia
A0A1Y1HLN7,Plants,Streptophyta,Klebsormidium
A0A1Y1HT28,Plants,Streptophyta,Klebsormidium
A0A1Y1HVY3,Plants,Streptophyta,Klebsormidium
A0A1Y1IBB9,Plants,Streptophyta,Klebsormidium
A0A1Y1IJ30,Plants,Streptophyta,Klebsormidium
A0A1Y1JWV0,Animals,Arthropoda,Photinus
A0A1Y1KAA4,Animals,Arthropoda,Photinus
A0A1Y1KCV2,Animals,Arthropoda,Photinus
A0A1Y1VY43,Fungi,Kickxellomycota,Linderina
A0A1Y1VY46,Fungi,Kickxellomycota,Linderina
A0A1Y1VY47,Fungi,Kickxellomycota,Linderina
A0A1Y1VY50,Fungi,Kickxellomycota,Linderina
A0A1Y1VYU8,Fungi,Kickxellomycota,Linderina
A0A1Y1W3Y5,Fungi,Kickxellomycota,Linderina
A0A1Y1W4C1,Fungi,Kickxellomycota,Linderina
A0A1Y1W4W0,Fungi,Kickxellomycota,Linderina
A0A1Y1W8H1,Fungi,Kickxellomycota,Linderina
A0A1Y1W8N5,Fungi,Kickxellomycota,Linderina
A0A1Y1W9H1,Fungi,Kickxellomycota,Linderina
A0A1Y1WUU7,Fungi,Basidiobolomycota,Basidiobolus
A0A1Y1WXW1,Fungi,Basidiobolomycota,Basidiobolus
A0A1Y1X7W0,Fungi,Basidiobolomycota,Basidiobolus
A0A1Y1XAL5,Fungi,Basidiobolomycota,Basidiobolus
A0A1Y1XFV3,Fungi,Basidiobolomycota,Basidiobolus
A0A1Y1XLK1,Fungi,Basidiobolomycota,Basidiobolus
A0A1Y1XM11,Fungi,Basidiobolomycota,Basidiobolus
A0A1Y1XU76,Fungi,Basidiobolomycota,Basidiobolus
A0A1Y1XUF9,Fungi,Basidiobolomycota,Basidiobolus
A0A1Y1XUN2,Fungi,Basidiobolomycota,Basidiobolus
A0A1Y1XVN2,Fungi,Basidiobolomycota,Basidiobolus
A0A1Y1XZB8,Fungi,Basidiobolomycota,Basidiobolus
A0A1Y1Y0G3,Fungi,Basidiobolomycota,Basidiobolus
A0A1Y1Y162,Fungi,Basidiobolomycota,Basidiobolus
A0A1Y1Y3B8,Fungi,Basidiobolomycota,Basidiobolus
A0A1Y1Y3H3,Fungi,Basidiobolomycota,Basidiobolus
A0A1Y1Y3L9,Fungi,Basidiobolomycota,Basidiobolus
A0A1Y1Y511,Fungi,Basidiobolomycota,Basidiobolus
A0A1Y1Y750,Fungi,Basidiobolomycota,Basidiobolus
A0A1Y1Y7M1,Fungi,Ascomycota,Clohesyomyces
A0A1Y1YAL0,Fungi,Ascomycota,Clohesyomyces
A0A1Y1YBC0,Fungi,Basidiobolomycota,Basidiobolus
A0A1Y1YDM8,Fungi,Basidiobolomycota,Basidiobolus
A0A1Y1YF00,Fungi,Basidiobolomycota,Basidiobolus
A0A1Y1YGY2,Fungi,Ascomycota,Clohesyomyces
A0A1Y1YHD6,Fungi,Basidiobolomycota,Basidiobolus
A0A1Y1YII7,Fungi,Ascomycota,Clohesyomyces
A0A1Y1YL36,Fungi,Ascomycota,Clohesyomyces
A0A1Y1Z2B1,Fungi,Basidiobolomycota,Basidiobolus
A0A1Y1Z2V1,Fungi,Basidiobolomycota,Basidiobolus
A0A1Y1Z3P8,Fungi,Basidiobolomycota,Basidiobolus
A0A1Y1Z4N2,Fungi,Basidiobolomycota,Basidiobolus
A0A1Y1Z5B8,Fungi,Basidiobolomycota,Basidiobolus
A0A1Y1Z5L8,Fungi,Ascomycota,Clohesyomyces
A0A1Y1Z697,Fungi,Basidiobolomycota,Basidiobolus
A0A1Y1Z6J4,Fungi,Basidiobolomycota,Basidiobolus
A0A1Y1ZAQ2,Fungi,Basidiobolomycota,Basidiobolus
A0A1Y1ZC58,Fungi,Basidiobolomycota,Basidiobolus
A0A1Y1ZEP1,Fungi,Ascomycota,Clohesyomyces
A0A1Y1ZKF0,Fungi,Ascomycota,Clohesyomyces
A0A1Y1ZNT3,Fungi,Ascomycota,Clohesyomyces
A0A1Y1ZQ62,Fungi,Ascomycota,Clohesyomyces
A0A1Y1ZQB7,Fungi,Ascomycota,Clohesyomyces
A0A1Y1ZS34,Fungi,Ascomycota,Clohesyomyces
A0A1Y1ZT51,Fungi,Ascomycota,Clohesyomyces
A0A1Y1ZVC0,Fungi,Ascomycota,Clohesyomyces
A0A1Y1ZWF3,Fungi,Ascomycota,Clohesyomyces
A0A1Y2A0W8,Fungi,Ascomycota,Clohesyomyces
A0A1Y2A1D7,Fungi,Ascomycota,Clohesyomyces
A0A1Y2A1T8,Fungi,Ascomycota,Clohesyomyces
A0A1Y2B7J2,Fungi,Chytridiomycota,Rhizoclosmatium
A0A1Y2B8A2,Fungi,Chytridiomycota,Rhizoclosmatium
A0A1Y2BRR1,Fungi,Chytridiomycota,Rhizoclosmatium
A0A1Y2BS97,Fungi,Chytridiomycota,Rhizoclosmatium
A0A1Y2C6Z8,Fungi,Chytridiomycota,Rhizoclosmatium
A0A1Y2C7D2,Fungi,Chytridiomycota,Rhizoclosmatium
A0A1Y2C902,Fungi,Chytridiomycota,Rhizoclosmatium
A0A1Y2CS79,Fungi,Chytridiomycota,Rhizoclosmatium
A0A1Y2CTW7,Fungi,Chytridiomycota,Rhizoclosmatium
A0A1Y2CTX0,Fungi,Chytridiomycota,Rhizoclosmatium
A0A1Y2D0T3,Fungi,Chytridiomycota,Rhizoclosmatium
A0A1Y2D0V7,Fungi,Chytridiomycota,Rhizoclosmatium
A0A1Y2D1M5,Fungi,Chytridiomycota,Rhizoclosmatium
A0A1Y2D9W0,Fungi,Ascomycota,Pseudomassariella
A0A1Y2DFI7,Fungi,Ascomycota,Pseudomassariella
A0A1Y2DJD5,Fungi,Ascomycota,Pseudomassariella
A0A1Y2DPS8,Fungi,Ascomycota,Pseudomassariella
A0A1Y2DQ55,Fungi,Ascomycota,Pseudomassariella
A0A1Y2DTS3,Fungi,Ascomycota,Pseudomassariella
A0A1Y2DW02,Fungi,Ascomycota,Pseudomassariella
A0A1Y2DYQ2,Fungi,Ascomycota,Pseudomassariella
A0A1Y2E0D0,Fungi,Ascomycota,Pseudomassariella
A0A1Y2E320,Fungi,Ascomycota,Pseudomassariella
A0A1Y2E7P4,Fungi,Ascomycota,Pseudomassariella
A0A1Y2EAA7,Fungi,Ascomycota,Pseudomassariella
A0A1Y2EAK7,Fungi,Ascomycota,Pseudomassariella
A0A1Y2EBR8,Fungi,Ascomycota,Pseudomassariella
A0A1Y2EC43,Fungi,Ascomycota,Pseudomassariella
A0A1Y2EFI0,Fungi,Ascomycota,Pseudomassariella
A0A1Y2ELF4,Fungi,Ascomycota,Pseudomassariella
A0A1Y2H970,Fungi,Blastocladiomycota,Catenaria
A0A1Y2HB26,Fungi,Blastocladiomycota,Catenaria
A0A1Y2HBG1,Fungi,Blastocladiomycota,Catenaria
A0A1Y2HBJ4,Fungi,Blastocladiomycota,Catenaria
A0A1Y2HGN7,Fungi,Blastocladiomycota,Catenaria
A0A1Y2HHP1,Fungi,Blastocladiomycota,Catenaria
A0A1Y2HIE7,Fungi,Blastocladiomycota,Catenaria
A0A1Y2HJL8,Fungi,Blastocladiomycota,Catenaria
A0A1Y2HM72,Fungi,Blastocladiomycota,Catenaria
A0A1Y2HMF9,Fungi,Blastocladiomycota,Catenaria
A0A1Y2HQW6,Fungi,Blastocladiomycota,Catenaria
A0A1Y2HSP2,Fungi,Blastocladiomycota,Catenaria
A0A1Y2HVF8,Fungi,Blastocladiomycota,Catenaria
A0A1Y2HYH5,Fungi,Blastocladiomycota,Catenaria
A0A1Y2I086,Fungi,Blastocladiomycota,Catenaria
A0A1Y2I0K9,Fungi,Blastocladiomycota,Catenaria
A0A1Y2I2E8,Fungi,Blastocladiomycota,Catenaria
A0A1Y2I367,Fungi,Blastocladiomycota,Catenaria
A0A1Y2I4M2,Fungi,Blastocladiomycota,Catenaria
A0A1Y2I5X2,Fungi,Blastocladiomycota,Catenaria
A0A1Y2J1T8,Fungi,Basidiomycota,Trametes
A0A1Y2J222,Fungi,Basidiomycota,Trametes
A0A1Y2JFF1,Bacteria,Pseudomonadota,Bradyrhizobium
A0A1Y2JMB7,Bacteria,Pseudomonadota,Bradyrhizobium
A0A1Y2LAB1,Bacteria,Pseudomonadota,Thalassospira
A0A1Y2LJE8,Fungi,Ascomycota,Epicoccum
A0A1Y2LKD1,Fungi,Ascomycota,Epicoccum
A0A1Y2LLX2,Fungi,Ascomycota,Epicoccum
A0A1Y2LS64,Fungi,Ascomycota,Epicoccum
A0A1Y2LTP6,Fungi,Ascomycota,Epicoccum
A0A1Y2LV59,Fungi,Ascomycota,Epicoccum
A0A1Y2LVN0,Fungi,Ascomycota,Epicoccum
A0A1Y2LWY4,Fungi,Ascomycota,Epicoccum
A0A1Y2LYA8,Fungi,Ascomycota,Epicoccum
A0A1Y2LZD4,Fungi,Ascomycota,Epicoccum
A0A1Y2M0W4,Fungi,Ascomycota,Epicoccum
A0A1Y2M152,Fungi,Ascomycota,Epicoccum
A0A1Y2M1Z3,Fungi,Ascomycota,Epicoccum
A0A1Y2M514,Fungi,Ascomycota,Epicoccum
A0A1Y2MBF5,Fungi,Ascomycota,Epicoccum
A0A1Y2MBQ1,Fungi,Ascomycota,Epicoccum
A0A1Y2MD93,Fungi,Ascomycota,Epicoccum
A0A1Y2MDF2,Fungi,Ascomycota,Epicoccum
A0A1Y2NMG9,Bacteria,Actinomycetota,Streptomyces
A0A1Y3CKL6,Bacteria,Pseudomonadota,Acinetobacter
A0A1Y3E6I2,Animals,Nematoda,Trichinella
A0A1Y3EME4,Animals,Nematoda,Trichinella
A0A1Y3EYP6,Animals,Nematoda,Trichinella
A0A1Y3EZC3,Animals,Nematoda,Trichinella
A0A1Y5XJS9,Bacteria,Actinomycetota,Kibdelosporangium
A0A1Y6CW86,Bacteria,Pseudomonadota,Methylomagnum
A0A1Y6LEM6,Fungi,Ascomycota,Zymoseptoria
A0A1Y6LG60,Fungi,Ascomycota,Zymoseptoria
A0A1Y6LH78,Fungi,Ascomycota,Zymoseptoria
A0A1Y6LHS4,Fungi,Ascomycota,Zymoseptoria
A0A1Y6LIE0,Fungi,Ascomycota,Zymoseptoria
A0A1Y6LJW2,Fungi,Ascomycota,Zymoseptoria
A0A1Y6LLM1,Fungi,Ascomycota,Zymoseptoria
A0A1Y6LLP7,Fungi,Ascomycota,Zymoseptoria
A0A1Y6LNC1,Fungi,Ascomycota,Zymoseptoria
A0A1Y6LWP6,Fungi,Ascomycota,Zymoseptoria
A0A1Y6LZE3,Fungi,Ascomycota,Zymoseptoria
A0A1Y6LZT0,Fungi,Ascomycota,Zymoseptoria
A0A1Y6M248,Fungi,Ascomycota,Zymoseptoria
A0A1Y6M338,Fungi,Ascomycota,Zymoseptoria
A0A1Z1WBL2,Bacteria,Actinomycetota,Streptomyces
A0A1Z1WEX4,Bacteria,Actinomycetota,Streptomyces
A0A1Z2KV18,Bacteria,Actinomycetota,Streptomyces
A0A1Z2L0K2,Bacteria,Actinomycetota,Streptomyces
A0A1Z2L705,Bacteria,Actinomycetota,Streptomyces
A0A1Z4C3I1,Bacteria,Pseudomonadota,Methylovulum
A0A1Z4C3W5,Bacteria,Pseudomonadota,Methylovulum
A0A1Z4LKJ3,Bacteria,Cyanobacteriota,Calothrix
A0A1Z4LU81,Bacteria,Cyanobacteriota,Calothrix
A0A1Z4V9M4,Bacteria,Cyanobacteriota,Dolichospermum
A0A1Z5R8F8,Plants,Streptophyta,Sorghum
A0A1Z5RF73,Plants,Streptophyta,Sorghum
A0A1Z5SN13,Fungi,Ascomycota,Hortaea
A0A1Z5SRG5,Fungi,Ascomycota,Hortaea
A0A1Z5SY64,Fungi,Ascomycota,Hortaea
A0A1Z5SZD6,Fungi,Ascomycota,Hortaea
A0A1Z5T6Y5,Fungi,Ascomycota,Hortaea
A0A1Z5T906,Fungi,Ascomycota,Hortaea
A0A1Z5TA34,Fungi,Ascomycota,Hortaea
A0A1Z5TGP0,Fungi,Ascomycota,Hortaea
A0A1Z5TI13,Fungi,Ascomycota,Hortaea
A0A1Z5TJY0,Fungi,Ascomycota,Hortaea
A0A1Z5TLP4,Fungi,Ascomycota,Hortaea
A0A1Z5TMX8,Fungi,Ascomycota,Hortaea
A0A1Z5TUA1,Fungi,Ascomycota,Hortaea
A0A1Z5TVI1,Fungi,Ascomycota,Hortaea
A0A1Z8AWD3,Bacteria,Bacteroidota,Nonlabens
A0A200PQQ4,Plants,Streptophyta,Macleaya
A0A200PQR0,Plants,Streptophyta,Macleaya
A0A200PQT6,Plants,Streptophyta,Macleaya
A0A200Q9B4,Plants,Streptophyta,Macleaya
A0A200Q9C8,Plants,Streptophyta,Macleaya
A0A200Q9D2,Plants,Streptophyta,Macleaya
A0A200R7R5,Plants,Streptophyta,Macleaya
A0A202B6Z1,Bacteria,Pseudomonadota,Chromobacterium
A0A202B9X1,Bacteria,Pseudomonadota,Chromobacterium
A0A210PLP8,Animals,Mollusca,Mizuhopecten
A0A210PPR4,Animals,Mollusca,Mizuhopecten
A0A210PWA4,Animals,Mollusca,Mizuhopecten
A0A210QF88,Animals,Mollusca,Mizuhopecten
A0A210QHJ1,Animals,Mollusca,Mizuhopecten
A0A210QHN1,Animals,Mollusca,Mizuhopecten
A0A210QJN1,Animals,Mollusca,Mizuhopecten
A0A210QJQ9,Animals,Mollusca,Mizuhopecten
A0A210QJS6,Animals,Mollusca,Mizuhopecten
A0A210QME8,Animals,Mollusca,Mizuhopecten
A0A210QRD1,Animals,Mollusca,Mizuhopecten
A0A210R172,Animals,Mollusca,Mizuhopecten
A0A210R239,Animals,Mollusca,Mizuhopecten
A0A210R249,Animals,Mollusca,Mizuhopecten
A0A210R253,Animals,Mollusca,Mizuhopecten
A0A210R2D2,Animals,Mollusca,Mizuhopecten
A0A210R2F8,Animals,Mollusca,Mizuhopecten
A0A210R2J1,Animals,Mollusca,Mizuhopecten
A0A210R2J5,Animals,Mollusca,Mizuhopecten
A0A210R2L1,Animals,Mollusca,Mizuhopecten
A0A210R2R4,Animals,Mollusca,Mizuhopecten
A0A211ZIF3,Bacteria,Pseudomonadota,Inquilinus
A0A212C4N1,Animals,Chordata,Cervus
A0A212C521,Animals,Chordata,Cervus
A0A218UTV1,Animals,Chordata,Lonchura
A0A218V5V9,Animals,Chordata,Lonchura
A0A218VAA1,Animals,Chordata,Lonchura
A0A218WZL2,Plants,Streptophyta,Punica
A0A218YW74,Fungi,Ascomycota,Diplocarpon
A0A218YXK2,Fungi,Ascomycota,Diplocarpon
A0A218Z092,Fungi,Ascomycota,Diplocarpon
A0A218Z1A3,Fungi,Ascomycota,Diplocarpon
A0A218Z379,Fungi,Ascomycota,Diplocarpon
A0A218Z5Z3,Fungi,Ascomycota,Diplocarpon
A0A218Z9Z9,Fungi,Ascomycota,Diplocarpon
A0A218ZEU2,Fungi,Ascomycota,Diplocarpon
A0A218ZG40,Fungi,Ascomycota,Diplocarpon
A0A218ZGH0,Fungi,Ascomycota,Diplocarpon
A0A221NXB2,Bacteria,Actinomycetota,Streptomyces
A0A221P6L7,Bacteria,Actinomycetota,Streptomyces
A0A221SLE1,Animals,Chordata,Microkayla
A0A221SLE4,Animals,Chordata,Microkayla
A0A221SLE8,Animals,Chordata,Microkayla
A0A221SLE9,Animals,Chordata,Microkayla
A0A221SLF0,Animals,Chordata,Microkayla
A0A221SLF2,Animals,Chordata,Microkayla
A0A221SLF4,Animals,Chordata,Bryophryne
A0A221SLF5,Animals,Chordata,Microkayla
A0A221SLF8,Animals,Chordata,Microkayla
A0A221SLF9,Animals,Chordata,Microkayla
A0A221SLG1,Animals,Chordata,Microkayla
A0A221SLG2,Animals,Chordata,Microkayla
A0A221SLG3,Animals,Chordata,Microkayla
A0A221SLG5,Animals,Chordata,Microkayla
A0A221SLG6,Animals,Chordata,Phrynopus
A0A221SLG7,Animals,Chordata,Microkayla
A0A221SLG8,Animals,Chordata,Microkayla
A0A221SLG9,Animals,Chordata,Microkayla
A0A221SLH2,Animals,Chordata,Microkayla
A0A221SLH3,Animals,Chordata,Phrynopus
A0A221SLH4,Animals,Chordata,Bryophryne
A0A221SLH8,Animals,Chordata,Bryophryne
A0A221SLH9,Animals,Chordata,Phrynopus
A0A221SLI0,Animals,Chordata,Phrynopus
A0A221SLI1,Animals,Chordata,Phrynopus
A0A221SLI3,Animals,Chordata,Microkayla
A0A221SLI6,Animals,Chordata,Phrynopus
A0A221SLJ1,Animals,Chordata,Phrynopus
A0A222YS18,Animals,Mollusca,Azumapecten
A0A222YSB4,Animals,Mollusca,Azumapecten
A0A222YTC9,Animals,Mollusca,Azumapecten
A0A225AK64,Fungi,Ascomycota,Talaromyces
A0A225AUA1,Fungi,Ascomycota,Talaromyces
A0A225UY76,Oomycota,Oomycota,Phytophthora
A0A225V6L6,Oomycota,Oomycota,Phytophthora
A0A225V7N9,Oomycota,Oomycota,Phytophthora
A0A225VLL4,Oomycota,Oomycota,Phytophthora
A0A225VX20,Oomycota,Oomycota,Phytophthora
A0A225W8Z8,Oomycota,Oomycota,Phytophthora
A0A225WDY0,Oomycota,Oomycota,Phytophthora
A0A225WNQ8,Oomycota,Oomycota,Phytophthora
A0A225WTA2,Oomycota,Oomycota,Phytophthora
A0A225WV75,Oomycota,Oomycota,Phytophthora
A0A225WXL0,Oomycota,Oomycota,Phytophthora
A0A225WXR8,Oomycota,Oomycota,Phytophthora
A0A225WZW1,Oomycota,Oomycota,Phytophthora
A0A225X002,Oomycota,Oomycota,Phytophthora
A0A225X068,Oomycota,Oomycota,Phytophthora
A0A225X0D9,Oomycota,Oomycota,Phytophthora
A0A225X3J0,Oomycota,Oomycota,Phytophthora
A0A226MSN3,Animals,Chordata,Callipepla
A0A226MV85,Animals,Chordata,Callipepla
A0A226N516,Animals,Chordata,Callipepla
A0A227NIZ8,Bacteria,Bacteroidota,Flavobacterium
A0A229WBV1,Fungi,Ascomycota,Aspergillus
A0A229YF46,Fungi,Ascomycota,Aspergillus
A0A232LQ58,Fungi,Ascomycota,Elaphomyces
A0A232M3J6,Fungi,Ascomycota,Elaphomyces
A0A232M3P4,Fungi,Ascomycota,Elaphomyces
A0A232M6A5,Fungi,Ascomycota,Elaphomyces
A0A233S0M9,Bacteria,Actinomycetota,Streptomyces
A0A233SWB8,Bacteria,Actinomycetota,Streptomyces
A0A238BSW7,Animals,Nematoda,Onchocerca
A0A238BUS9,Animals,Nematoda,Onchocerca
A0A238C4W2,Animals,Nematoda,Onchocerca
A0A238C614,Animals,Nematoda,Onchocerca
A0A238GSN3,Plants,Streptophyta,Malus
A0A238GSS3,Plants,Streptophyta,Malus
A0A238GT27,Plants,Streptophyta,Malus
A0A238JCS7,Bacteria,Pseudomonadota,Pelagimonas
A0A238URH8,Bacteria,Actinomycetota,Blastococcus
A0A238WEM5,Bacteria,Pseudomonadota,Paracoccus
A0A239B9T9,Bacteria,Bacteroidota,Dokdonia
A0A239C589,Bacteria,Actinomycetota,Geodermatophilus
A0A239DL37,Bacteria,Acidobacteriota,Granulicella
A0A239JU18,Bacteria,Pseudomonadota,Pseudomonas
A0A242WAF8,Bacteria,Bacillota,Bacillus
A0A243BGP5,Bacteria,Bacillota,Bacillus
A0A243RJW7,Bacteria,Actinomycetota,Streptomyces
A0A243S3W4,Bacteria,Actinomycetota,Streptomyces
A0A248JNQ9,Bacteria,Pseudomonadota,Nitrospirillum
A0A248JZS5,Bacteria,Pseudomonadota,Nitrospirillum
A0A249PKJ6,Bacteria,Pseudomonadota,Sinorhizobium
A0A250IQN3,Bacteria,Myxococcota,Melittangium
A0A250J906,Bacteria,Myxococcota,Cystobacter
A0A250JIN4,Bacteria,Myxococcota,Cystobacter
A0A250V858,Bacteria,Actinomycetota,Streptomyces
A0A250VK24,Bacteria,Actinomycetota,Streptomyces
A0A250X2B4,Plants,Chlorophyta,Chlamydomonas
A0A251PFJ6,Plants,Streptophyta,Prunus
A0A251RRE0,Plants,Streptophyta,Helianthus
A0A251S095,Plants,Streptophyta,Helianthus
A0A251SBY7,Plants,Streptophyta,Helianthus
A0A251SCL8,Plants,Streptophyta,Helianthus
A0A251T8E6,Plants,Streptophyta,Helianthus
